fertilizer prices
"Reference,date=2020-20-1T06:23:31-08:00",India,N fertilizer,0.117068,0.132162,0.199977,0.138531,0.139018,0.145752,0.158368,0.192775,0.193463,0.193784,0.195001,0.196313,0.196243,0.196116,0.195883,0.195808,0.198621,0.200696,0.202286,0.204502,0.206946,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Indonesia,N fertilizer,0.187849,0.196614,0.227039,0.202493,0.201703,0.20257,0.200291,0.199491,0.200232,0.200571,0.201893,0.203332,0.203265,0.203139,0.202899,0.202835,0.205951,0.208268,0.210062,0.212565,0.215339,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Japan,N fertilizer,0.188409,0.195024,0.218005,0.195749,0.195083,0.195968,0.193896,0.193203,0.193945,0.194303,0.195601,0.196948,0.196835,0.196667,0.196383,0.196255,0.199096,0.201144,0.202649,0.204737,0.206967,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Mexico,N fertilizer,0.185067,0.192554,0.215428,0.195594,0.194917,0.195768,0.193708,0.193008,0.193725,0.194066,0.195327,0.196658,0.196568,0.196421,0.196161,0.196059,0.198892,0.200958,0.202506,0.204657,0.206987,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Middle East,N fertilizer,0.186043,0.192801,0.215619,0.195738,0.195023,0.195812,0.193745,0.19302,0.193694,0.194003,0.195205,0.196511,0.196449,0.196333,0.196113,0.196053,0.19888,0.200979,0.202602,0.204866,0.207372,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Pakistan,N fertilizer,0.186901,0.19534,0.222615,0.199187,0.198433,0.19926,0.197085,0.196321,0.197028,0.197351,0.198613,0.199985,0.19992,0.199799,0.199569,0.199506,0.202477,0.204684,0.206393,0.208775,0.211416,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Russia,N fertilizer,0.198616,0.207894,0.234814,0.202605,0.201813,0.202682,0.200399,0.199598,0.20034,0.20068,0.202004,0.203446,0.20338,0.203254,0.203014,0.202951,0.206074,0.208396,0.210196,0.212706,0.215489,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",South Africa,N fertilizer,0.317507,0.361637,0.365859,0.198061,0.196276,0.196863,0.194468,0.193632,0.194329,0.194634,0.195896,0.197192,0.197016,0.196785,0.196449,0.196284,0.199086,0.201097,0.202582,0.20467,0.206942,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",South America_Northern,N fertilizer,0.185072,0.192413,0.215143,0.195373,0.19466,0.195442,0.193386,0.192664,0.193333,0.193638,0.19483,0.196128,0.196067,0.195953,0.195736,0.195677,0.198487,0.200575,0.202191,0.204446,0.206946,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",South America_Southern,N fertilizer,0.187807,0.192506,0.215446,0.195607,0.194915,0.195747,0.193682,0.192974,0.193679,0.194011,0.195257,0.19658,0.196495,0.196355,0.196105,0.196013,0.198841,0.200913,0.202478,0.204656,0.207031,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",South Asia,N fertilizer,0.189901,0.199676,0.224259,0.200424,0.199787,0.200888,0.198652,0.197963,0.198884,0.199362,0.20092,0.202432,0.202238,0.201956,0.201526,0.201262,0.204311,0.206402,0.207808,0.209747,0.211673,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",South Korea,N fertilizer,0.0556686,0.195223,0.21932,0.196771,0.1962,0.197301,0.195139,0.194457,0.195308,0.195753,0.197256,0.198681,0.198453,0.198162,0.197729,0.197452,0.200351,0.202309,0.203574,0.2053,0.20693,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Southeast Asia,N fertilizer,0.215956,0.196411,0.217483,0.197756,0.198213,0.199343,0.197972,0.197752,0.198302,0.198535,0.199579,0.200761,0.200718,0.200618,0.200397,0.200267,0.202683,0.204411,0.205622,0.2073,0.209098,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",Taiwan,N fertilizer,0.0,0.0,0.0,0.195373,0.19466,0.195443,0.193387,0.192666,0.193335,0.19364,0.194833,0.196132,0.19607,0.195957,0.19574,0.195682,0.198494,0.200584,0.202202,0.20446,0.206962,1975$/kgN,
"Reference,date=2020-20-1T06:23:31-08:00",USA,N fertilizer,0.191495,0.200939,0.22624,0.200218,0.199844,0.201448,0.199206,0.198689,0.199965,0.200698,0.202722,0.20441,0.203974,0.203435,0.202682,0.202077,0.205168,0.206968,0.207749,0.208755,0.209177,1975$/kgN,
