regional ag commodity sources
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Eastern,regional root_tuber,domestic root_tuber,RootTuber,16.513,26.5977,30.2856,30.0029,33.8218,38.0978,42.7487,47.3257,51.9083,56.4282,60.8256,63.9035,66.6817,69.1662,71.3598,73.261,74.8383,76.0997,77.043,77.7077,78.1015,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Eastern,regional root_tuber,imported root_tuber,traded root_tuber,0.0,0.0078598,0.0170479,0.0393155,0.0457185,0.0524991,0.0604942,0.0665091,0.0724738,0.0783114,0.0843445,0.092359,0.100724,0.109142,0.117547,0.125739,0.13317,0.139787,0.145374,0.150031,0.153681,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Eastern,regional sugarcrop,domestic sugarcrop,SugarCrop,14.403,21.2513,22.9222,23.1229,25.629,28.3248,31.0125,33.5165,35.8891,38.2375,40.468,42.3363,43.8717,45.2051,46.2014,47.0459,47.861,48.6008,49.2304,49.7517,50.1931,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Eastern,regional sugarcrop,imported sugarcrop,traded sugarcrop,0.0,0.0,0.667976,1.3643,1.74886,2.14006,2.61659,3.23528,3.91553,4.50012,5.0428,5.49848,6.06536,6.61166,7.27998,7.87829,8.25587,8.4636,8.53662,8.50397,8.34383,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Eastern,regional wheat,domestic wheat,Wheat,1.55989,3.18002,3.84504,4.96519,5.29688,5.67691,6.01113,6.48725,6.92133,7.30851,7.65534,7.66906,7.64686,7.60617,7.54886,7.49444,7.43959,7.38228,7.32562,7.26397,7.19749,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Eastern,regional wheat,imported wheat,traded wheat,1.71215,3.45432,5.4604,4.32012,5.17363,6.10304,7.18452,8.09647,9.04908,10.0251,11.0005,11.934,12.8156,13.6288,14.3726,15.0244,15.5763,16.0349,16.3955,16.676,16.8776,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Northern,regional biomassOil,regional biomassOil,regional oilcrop,0.0,0.0,0.0,0.0,0.227982,0.332618,0.444649,0.552941,0.6653,0.765463,0.822156,0.849275,0.906356,1.00859,1.15523,1.36584,1.63382,1.9144,2.18472,2.44476,2.70126,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Northern,regional corn,domestic corn,Corn,5.07242,6.65922,7.60271,8.01906,9.33796,10.4459,11.6794,12.7776,13.8984,15.0443,16.0188,16.3406,16.5391,16.6898,16.7472,16.8404,16.9838,17.1175,17.2277,17.2891,17.2916,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Northern,regional corn,imported corn,traded corn,2.9372,8.35036,10.9872,12.1204,14.0831,15.7088,17.4836,19.2341,20.7536,21.8514,22.5588,22.7356,22.9581,23.1686,23.5007,23.8071,24.0382,24.193,24.2798,24.2945,24.2127,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Northern,regional corn for ethanol,regional corn for ethanol,regional corn,0.0,0.0,0.0,0.0,1.97441,3.12926,4.57244,6.02445,7.4622,8.70479,9.38794,9.53997,9.61299,9.71396,9.88256,10.2601,10.8176,11.3805,11.8875,12.3208,12.6671,Mt,
"Reference,date=2020-20-1T14:16:54-08:00",Africa_Northern,regional fibercrop,domestic fibercrop,FiberCrop,0.910107,0.608207,0.418528,0.365601,0.395954,0.421613,0.446426,0.479742,0.512255,0.543724,0.570646,0.577621,0.581236,0.582176,0.579842,0.575271,0.568143,0.560008,0.551436,0.538258,0.523888,Mt,
