ag commodity prices
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,FiberCrop,0.426133,0.426133,0.426133,0.426479,0.431501,0.436879,0.441563,0.440905,0.440288,0.440252,0.438057,0.445416,0.450453,0.453041,0.453834,0.452729,0.451346,0.448048,0.443418,0.438149,0.432524,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,FodderGrass,0.0382,0.0382,0.0382,0.0389499,0.0400689,0.041264,0.0423972,0.0439151,0.0453621,0.0467602,0.0479993,0.0486481,0.0490653,0.0492116,0.0491569,0.0489097,0.0486312,0.0482215,0.0477248,0.0471824,0.0466103,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,FodderHerb,0.0545,0.0545,0.0545,0.0550053,0.055619,0.0563559,0.0571173,0.0582842,0.0593639,0.0603983,0.0613001,0.0619935,0.0624807,0.0627223,0.0628213,0.0627518,0.0626565,0.0623824,0.0619794,0.0615021,0.0609645,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,Forest,52.3429,52.3429,52.3429,54.139,56.1569,58.368,60.7707,63.3711,65.8016,68.1863,70.3413,72.0307,73.2697,73.9662,74.3092,74.2999,74.1744,73.6723,72.8883,71.9297,70.8484,1975$/m3,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,MiscCrop,0.123312,0.123312,0.123312,0.123081,0.123145,0.123245,0.123304,0.123648,0.123954,0.124225,0.124424,0.124533,0.124558,0.124522,0.124484,0.124384,0.124288,0.124125,0.123915,0.123697,0.123483,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,OilCrop,0.155976,0.155976,0.155976,0.158412,0.159461,0.160939,0.161961,0.166903,0.171381,0.175284,0.178087,0.177999,0.176911,0.174559,0.172291,0.169782,0.167706,0.165048,0.162129,0.159124,0.156153,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,OtherGrain,0.0884107,0.0884107,0.0884107,0.0871896,0.0875342,0.0880619,0.0884156,0.0902527,0.0918342,0.0932384,0.0941916,0.0953526,0.0959703,0.0959999,0.0956833,0.0949709,0.0942221,0.0931127,0.0917579,0.0902765,0.0887207,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,PalmFruit,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,0.0717407,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,Pasture,0.0382,0.0382,0.0382,0.0394364,0.0411082,0.0428578,0.044531,0.0465668,0.0485179,0.0504164,0.0521411,0.0528846,0.0533781,0.053592,0.0536093,0.0534025,0.0531322,0.0527053,0.0521723,0.0515734,0.0509295,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,Rice,0.0953788,0.0953788,0.0953788,0.0952995,0.0964392,0.0978037,0.0990758,0.101237,0.10323,0.10496,0.105921,0.107915,0.109184,0.109656,0.10961,0.108988,0.108208,0.1069,0.10522,0.103352,0.101385,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,RootTuber,0.0871845,0.0871845,0.0871845,0.0871424,0.0873603,0.0876027,0.0877938,0.0882011,0.0885604,0.0888776,0.089098,0.0892962,0.0893811,0.0893652,0.0893271,0.0892116,0.0890944,0.0889023,0.0886549,0.0883937,0.0881181,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,SugarCrop,0.0153178,0.0153178,0.0153178,0.0154013,0.0155813,0.0157496,0.015849,0.0161143,0.0163396,0.0165676,0.0167294,0.016899,0.0169923,0.0169777,0.0169204,0.0168028,0.0166839,0.0165153,0.0163122,0.0161018,0.0158848,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,UnmanagedLand,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,none,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,Wheat,0.12058,0.12058,0.12058,0.118191,0.117679,0.117516,0.117237,0.118753,0.119926,0.120929,0.121316,0.122948,0.123772,0.123707,0.123182,0.122128,0.121126,0.119575,0.117635,0.115494,0.113222,1975$/kg,
"Reference,date=2020-19-1T07:20:28-08:00",Africa_Northern,biomass,1.08278,1.11127,1.16837,1.1813,1.19988,1.23509,1.25274,1.28743,1.35872,1.42702,1.48776,1.56776,1.63144,1.67192,1.70295,1.72562,1.76453,1.7865,1.79504,1.7966,1.79241,1975$/GJ,
